"","Gender","Age","Country","State","KitKAt","Skittles","Lollipop","TicTac","GumFromBaseballCards","Income","incomeCluster","ageCluster"
"1385","Male",36,"USA","COLORADO","JOY","JOY","MEH","DESPAIR","DESPAIR",50410,2,3
"1386","Female",37,"USA","MAINE","JOY","JOY","MEH","DESPAIR","DESPAIR",42077,1,3
"1387","Male",35,"USA","GEORGIA","JOY","JOY","MEH","MEH","DESPAIR",40551,1,3
"1388","Female",42,"USA","MASSACHUSETTS","JOY","JOY","JOY","MEH","DESPAIR",61032,3,3
"1389","Female",31,"USA","CALIFORNIA","JOY","JOY","MEH","DESPAIR","DESPAIR",52651,2,3
"1390","Male",43,"USA","MASSACHUSETTS","JOY","JOY","MEH","DESPAIR","DESPAIR",61032,3,3
"1391","Female",30,"USA","NEW YORK","JOY","JOY","JOY","JOY","JOY",57705,3,2
"1392","Female",65,"USA","DELAWARE","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR",47662,2,4
"1393","Female",43,"USA","ILLINOIS","JOY","JOY","MEH","MEH","MEH",49471,2,3
"1394","Female",38,"USA","TEXAS","JOY","MEH","MEH","MEH","DESPAIR",46745,2,3
"1395","Female",48,"USA","KANSAS","JOY","DESPAIR","JOY","MEH","DESPAIR",45876,2,3
"1396","Female",60,"USA","CALIFORNIA","JOY","JOY","MEH","DESPAIR","DESPAIR",52651,2,4
"1397","Male",53,"USA","ILLINOIS","JOY","DESPAIR","MEH","MEH","DESPAIR",49471,2,4
"1398","Male",37,"USA","ILLINOIS","JOY","JOY","MEH","DESPAIR","DESPAIR",49471,2,3
"1399","Male",42,"USA","OHIO","JOY","JOY","MEH","MEH","MEH",43478,1,3
"1400","Male",38,"USA","MINNESOTA","JOY","JOY","MEH","DESPAIR","DESPAIR",50541,2,3
"1401","Male",48,"USA","CALIFORNIA","JOY","JOY","MEH","DESPAIR","DESPAIR",52651,2,3
"1402","Female",30,"USA","IDAHO","JOY","JOY","MEH","DESPAIR","DESPAIR",37509,1,2
"1403","Male",4,"USA","OHIO","JOY","JOY","JOY","DESPAIR","DESPAIR",43478,1,1
"1404","Male",30,"USA","CALIFORNIA","JOY","JOY","DESPAIR","DESPAIR","DESPAIR",52651,2,2
"1405","Male",68,"USA","NEVADA","JOY","DESPAIR","MEH","MEH","DESPAIR",42185,1,4
"1406","Male",33,"USA","NORTH CAROLINA","MEH","DESPAIR","MEH","DESPAIR","MEH",40656,1,3
"1407","Male",49,"USA","MINNESOTA","JOY","JOY","DESPAIR","DESPAIR","DESPAIR",50541,2,3
"1408","Female",30,"USA","IOWA","JOY","JOY","MEH","DESPAIR","DESPAIR",44971,2,2
"1409","Male",56,"USA","INDIANA","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR",40998,1,4
"1410","Male",40,"USA","RHODE ISLAND","JOY","JOY","MEH","MEH","DESPAIR",50080,2,3
"1411","Female",44,"USA","IDAHO","MEH","JOY","DESPAIR","DESPAIR","DESPAIR",37509,1,3
"1412","Female",42,"USA","CALIFORNIA","JOY","JOY","JOY","DESPAIR","DESPAIR",52651,2,3
"1413","Female",36,"USA","MINNESOTA","MEH","JOY","MEH","DESPAIR","DESPAIR",50541,2,3
"1414","Female",40,"USA","MISSOURI","MEH","JOY","MEH","DESPAIR","DESPAIR",42752,1,3
"1415","Male",41,"USA","WASHINGTON","MEH","JOY","DESPAIR","DESPAIR","DESPAIR",51146,2,3
"1416","Male",49,"USA","ARIZONA","JOY","JOY","MEH","DESPAIR","DESPAIR",39060,1,3
"1417","Female",21,"USA","PENNSYLVANIA","JOY","JOY","MEH","MEH","MEH",49180,2,2
"1418","Female",26,"USA","INDIANA","JOY","JOY","MEH","MEH","DESPAIR",40998,1,2
"1419","Male",32,"USA","TEXAS","JOY","JOY","MEH","DESPAIR","DESPAIR",46745,2,3
"1420","Male",32,"USA","TEXAS","JOY","MEH","DESPAIR","DESPAIR","DESPAIR",46745,2,3
"1421","Male",76,"USA","CALIFORNIA","JOY","JOY","JOY","DESPAIR","MEH",52651,2,4
"1422","Female",40,"USA","ILLINOIS","JOY","MEH","MEH","DESPAIR","DESPAIR",49471,2,3
"1423","Female",29,"USA","ARIZONA","JOY","MEH","MEH","MEH","DESPAIR",39060,1,2
"1424","Female",49,"USA","INDIANA","JOY","JOY","MEH","DESPAIR","DESPAIR",40998,1,3
"1425","Female",48,"USA","INDIANA","JOY","DESPAIR","DESPAIR","MEH","DESPAIR",40998,1,3
"1426","Female",41,"USA","MISSOURI","JOY","JOY","MEH","DESPAIR","DESPAIR",42752,1,3
"1427","Female",56,"USA","IDAHO","JOY","MEH","DESPAIR","MEH","DESPAIR",37509,1,4
"1428","Male",41,"USA","CALIFORNIA","MEH","MEH","MEH","DESPAIR","DESPAIR",52651,2,3
"1429","Female",45,"USA","NEW HAMPSHIRE","JOY","MEH","JOY","JOY","DESPAIR",54817,3,3
"1430","Female",45,"USA","CALIFORNIA","JOY","JOY","MEH","DESPAIR","DESPAIR",52651,2,3
"1431","Female",36,"USA","MONTANA","JOY","JOY","MEH","JOY","MEH",41280,1,3
"1432","Male",36,"USA","WASHINGTON","JOY","JOY","MEH","DESPAIR","DESPAIR",51146,2,3
"1433","Male",54,"USA","CALIFORNIA","JOY","JOY","MEH","DESPAIR","JOY",52651,2,4
"1434","Female",35,"USA","CALIFORNIA","JOY","MEH","MEH","DESPAIR","DESPAIR",52651,2,3
"1435","Male",50,"USA","KANSAS","JOY","JOY","MEH","JOY","MEH",45876,2,3
"1436","Female",43,"USA","OREGON","MEH","DESPAIR","MEH","DESPAIR","DESPAIR",42974,1,3
"1437","Female",31,"USA","MICHIGAN","JOY","JOY","JOY","JOY","DESPAIR",42427,1,3
"1438","Female",57,"USA","PENNSYLVANIA","JOY","DESPAIR","DESPAIR","MEH","DESPAIR",49180,2,4
"1439","Female",45,"USA","PENNSYLVANIA","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR",49180,2,3
"1440","Male",39,"USA","NEW JERSEY","JOY","JOY","JOY","JOY","MEH",59782,3,3
"1441","Female",36,"USA","CALIFORNIA","JOY","JOY","MEH","DESPAIR","DESPAIR",52651,2,3
"1442","Male",50,"USA","UTAH","MEH","MEH","MEH","DESPAIR","DESPAIR",39045,1,3
"1443","Male",48,"USA","MISSOURI","JOY","JOY","MEH","DESPAIR","DESPAIR",42752,1,3
"1444","Female",26,"USA","ILLINOIS","JOY","JOY","MEH","DESPAIR","DESPAIR",49471,2,2
"1445","Female",32,"USA","CONNECTICUT","JOY","JOY","MEH","DESPAIR","DESPAIR",66972,3,3
"1446","Male",27,"USA","CONNECTICUT","JOY","DESPAIR","MEH","JOY","MEH",66972,3,2
"1447","Female",30,"USA","CONNECTICUT","MEH","MEH","JOY","MEH","DESPAIR",66972,3,2
"1448","Male",31,"USA","ILLINOIS","JOY","JOY","MEH","DESPAIR","DESPAIR",49471,2,3
"1449","Male",39,"USA","IOWA","JOY","MEH","JOY","MEH","DESPAIR",44971,2,3
"1450","Male",24,"USA","UTAH","JOY","JOY","MEH","MEH","DESPAIR",39045,1,2
"1451","Female",35,"USA","WASHINGTON","JOY","MEH","MEH","MEH","DESPAIR",51146,2,3
"1452","Female",43,"USA","OHIO","JOY","JOY","MEH","DESPAIR","DESPAIR",43478,1,3
"1453","Male",37,"USA","UTAH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR",39045,1,3
"1454","Female",56,"USA","TEXAS","JOY","JOY","MEH","MEH","MEH",46745,2,4
"1455","Male",59,"USA","ILLINOIS","JOY","MEH","DESPAIR","DESPAIR","DESPAIR",49471,2,4
"1456","Male",43,"USA","KENTUCKY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR",38989,1,3
"1457","Female",17,"USA","COLORADO","JOY","JOY","MEH","DESPAIR","DESPAIR",50410,2,2
"1458","Female",55,"USA","INDIANA","JOY","JOY","MEH","DESPAIR","DESPAIR",40998,1,4
"1459","Female",57,"USA","INDIANA","JOY","JOY","MEH","DESPAIR","DESPAIR",40998,1,4
"1460","Male",46,"USA","INDIANA","JOY","JOY","MEH","MEH","DESPAIR",40998,1,3
"1461","Female",56,"USA","INDIANA","MEH","MEH","DESPAIR","MEH","DESPAIR",40998,1,4
"1462","Female",36,"USA","PENNSYLVANIA","JOY","JOY","MEH","DESPAIR","DESPAIR",49180,2,3
"1463","Male",35,"USA","ARKANSAS","JOY","JOY","MEH","DESPAIR","DESPAIR",39107,1,3
"1464","Female",45,"USA","CALIFORNIA","JOY","JOY","MEH","MEH","MEH",52651,2,3
"1465","Male",52,"USA","CALIFORNIA","JOY","JOY","JOY","MEH","DESPAIR",52651,2,4
"1466","Male",44,"USA","CALIFORNIA","JOY","JOY","JOY","MEH","DESPAIR",52651,2,3
"1467","Male",49,"USA","MONTANA","JOY","JOY","MEH","DESPAIR","DESPAIR",41280,1,3
"1468","Male",53,"USA","NEW JERSEY","JOY","MEH","MEH","DESPAIR","DESPAIR",59782,3,4
"1469","Male",28,"USA","WASHINGTON","JOY","JOY","MEH","DESPAIR","DESPAIR",51146,2,2
"1470","Female",35,"USA","OHIO","JOY","JOY","JOY","MEH","DESPAIR",43478,1,3
"1471","Female",59,"USA","INDIANA","MEH","MEH","DESPAIR","MEH","DESPAIR",40998,1,4
"1472","Female",51,"USA","OREGON","JOY","JOY","MEH","DESPAIR","DESPAIR",42974,1,4
"1473","Female",30,"USA","MASSACHUSETTS","JOY","JOY","MEH","DESPAIR","DESPAIR",61032,3,2
"1474","Male",51,"USA","COLORADO","MEH","MEH","MEH","DESPAIR","DESPAIR",50410,2,4
"1475","Male",33,"USA","NEW JERSEY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR",59782,3,3
"1476","Male",11,"USA","TEXAS","JOY","JOY","JOY","DESPAIR","MEH",46745,2,1
"1477","Male",42,"USA","PENNSYLVANIA","JOY","JOY","MEH","DESPAIR","DESPAIR",49180,2,3
"1478","Female",45,"USA","ILLINOIS","JOY","JOY","MEH","DESPAIR","DESPAIR",49471,2,3
"1479","Male",39,"USA","VIRGINIA","JOY","MEH","DESPAIR","MEH","DESPAIR",52136,2,3
"1480","Female",35,"USA","MICHIGAN","JOY","MEH","MEH","DESPAIR","DESPAIR",42427,1,3
"1481","Male",39,"USA","CALIFORNIA","JOY","JOY","JOY","MEH","DESPAIR",52651,2,3
"1482","Female",34,"USA","CALIFORNIA","JOY","JOY","JOY","MEH","DESPAIR",52651,2,3
"1483","Male",52,"USA","PENNSYLVANIA","JOY","DESPAIR","DESPAIR","MEH","MEH",49180,2,4
"1484","Male",39,"USA","NEW HAMPSHIRE","JOY","DESPAIR","MEH","DESPAIR","DESPAIR",54817,3,3
"1485","Female",52,"USA","NEW YORK","JOY","JOY","JOY","JOY","JOY",57705,3,4
"1486","Male",25,"USA","KENTUCKY","JOY","JOY","MEH","DESPAIR","DESPAIR",38989,1,2
"1487","Male",48,"USA","CONNECTICUT","JOY","MEH","MEH","DESPAIR","DESPAIR",66972,3,3
"1488","Female",27,"USA","NORTH CAROLINA","JOY","JOY","JOY","JOY","DESPAIR",40656,1,2
"1489","Female",39,"USA","NEW YORK","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR",57705,3,3
"1490","Female",67,"USA","MISSOURI","JOY","JOY","MEH","DESPAIR","DESPAIR",42752,1,4
"1491","Female",43,"USA","PENNSYLVANIA","JOY","JOY","MEH","DESPAIR","DESPAIR",49180,2,3
"1492","Female",26,"USA","MICHIGAN","JOY","JOY","MEH","MEH","DESPAIR",42427,1,2
"1493","Male",24,"USA","MARYLAND","JOY","MEH","DESPAIR","JOY","JOY",56127,3,2
"1494","Female",33,"USA","NEW YORK","JOY","JOY","MEH","DESPAIR","DESPAIR",57705,3,3
"1495","Male",58,"USA","NORTH CAROLINA","JOY","JOY","MEH","DESPAIR","DESPAIR",40656,1,4
"1496","Female",66,"USA","PENNSYLVANIA","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR",49180,2,4
